Position[cm]	Wave at 1 sec	Wave at 3 sec		
0.1	4.78954790047778E-11	0
0.2	7.39227859934509E-11	0
0.3	1.13638358930083E-10	0
0.4	1.73994052209897E-10	0
0.5	2.65342412864281E-10	0
0.6	4.03034076695331E-10	0
0.7	6.09732975305802E-10	0
0.8	9.18756491360566E-10	0
0.9	1.37887208732131E-9	0
1	2.06115362243856E-9	0
1.1	3.06873626548941E-9	0
1.2	4.55063069183233E-9	0
1.3	6.72119413188929E-9	0
1.4	9.88744565699232E-9	0
1.5	1.44872048677205E-8	0
1.6	2.11420899298011E-8	0
1.7	3.07308131512657E-8	0
1.8	4.44900619358385E-8	0
1.9	6.41526780544063E-8	0
2	9.21360083456613E-8	0
2.1	1.31797392346717E-7	0
2.2	1.8777901831051E-7	0
2.3	2.66471111191145E-7	0
2.4	3.76630965597407E-7	0
2.5	5.30206120182429E-7	0
2.6	7.43423476261172E-7	0
2.7	1.03822295854486E-6	0
2.8	1.44413504557528E-6	0
2.9	2.00072688686779E-6	0
3	2.7607725720372E-6	0
3.1	3.79434028565608E-6	0
3.2	5.19403347400285E-6	0
3.3	7.08167568209869E-6	0
3.4	9.61679027700053E-6	0
3.5	1.30072976540676E-5	0
3.6	1.75229343631352E-5	0
3.7	2.35119912734678E-5	0
3.8	3.14220714360773E-5	0
3.9	4.18256822169611E-5	0
4	5.5451599432177E-5	0
4.1	7.32230716633572E-5	0
4.2	9.63040677170346E-5	0
4.3	1.26154905170323E-4	0
4.4	1.64598727601045E-4	0
4.5	2.13900415367662E-4	0
4.6	2.76859610930212E-4	0
4.7	3.56919604151784E-4	0
4.8	4.58293843445019E-4	0
4.9	5.8611180093864E-4	0
5	7.4658580837668E-4	0
5.1	9.4720027832011E-4	0
5.2	0.00119692441471688	0
5.3	0.0015064490802475	0
5.4	0.00188844790797898	0
5.5	0.00235786200649023	0
5.6	0.00293220669850158	0
5.7	0.00363189764530118	0
5.8	0.00448059244101662	0
5.9	0.00550554231769636	0
6	0.00673794699908547	0
6.1	0.00821330400344857	6.65315963745277E-289
6.2	0.00997174186137647	6.64926805893987E-288
6.3	0.0120583248338114	6.618850333885E-287
6.4	0.0145233148527069	6.56227010901535E-286
6.5	0.0174223746394935	6.48020083735579E-285
6.6	0.0208166943753059	6.37361243633863E-284
6.7	0.0247730230033142	6.24375220966482E-283
6.8	0.0293635843476993	6.09212055753433E-282
6.9	0.0346658578510765	5.92044213649974E-281
7	0.0407622039783662	5.73063324357108E-280
7.1	0.047739315321241	5.52476628603334E-279
7.2	0.05568747626327	5.30503225597664E-278
7.3	0.0646996168137854	5.07370215567413E-277
7.4	0.0748701499452598	4.8330883166013E-276
7.5	0.0862935864993705	4.58550652217025E-275
7.6	0.0990629274467473	4.33323978450196E-274
7.7	0.113267839935589	4.07850454188517E-273
7.8	0.128992631036519	3.82341994010551E-272
7.9	0.146314041224636	3.56998074202532E-271
8	0.165298888221587	3.32003428071719E-270
8.1	0.186001600586909	3.07526173711839E-269
8.2	0.208461689089631	2.83716388851417E-268
8.3	0.232701212061571	2.60705134395957E-267
8.4	0.25872229825964	2.38603916111962E-266
8.5	0.28650479686019	2.17504562954544E-265
8.6	0.316004128691862	1.97479491099736E-264
8.7	0.34714941532451	1.78582315007022E-263
8.8	0.379841962851379	1.60848760935868E-262
8.9	0.413954174871274	1.4429783431194E-261
9	0.449328964117222	1.28933190156676E-260
9.1	0.485779724303885	1.14744655356942E-259
9.2	0.523090913102501	1.01709852705152E-258
9.3	0.561019283842171	8.97958791859907E-258
9.4	0.599295787845539	7.8960994692111E-257
9.5	0.637628151621773	6.91562819652972E-256
9.6	0.675704113960626	6.03272438279711E-255
9.7	0.713195287898282	5.24153094369071E-254
9.8	0.749761592239041	4.53592271206286E-253
9.9	0.78505617755183	3.90963271381491E-252
10	0.818730753077982	3.35636432330764E-251
10.1	0.850441204540233	2.86988869994183E-250
10.2	0.879853379144644	2.44412737044324E-249
10.3	0.906648903753921	2.07322022455808E-248
10.4	0.930530895811206	1.75157953019351E-247
10.5	0.951229424500714	1.47393084562246E-246
10.6	0.968506582079197	1.23534191194534E-245
10.7	0.982161032358301	1.03124075166816E-244
10.8	0.992031914837061	8.57424283944998E-244
10.9	0.998001998667333	7.10058800023776E-243
11	1	5.85673630886852E-242
11.1	0.998001998667333	4.81149290665439E-241
11.2	0.992031914837061	3.93701301814253E-240
11.3	0.982161032358301	3.2086080877418E-239
11.4	0.968506582079197	2.60452972892156E-238
11.5	0.951229424500714	2.10574019012407E-237
11.6	0.930530895811206	1.69567678884718E-236
11.7	0.906648903753921	1.36001652934033E-235
11.8	0.879853379144644	1.08644593698802E-234
11.9	0.850441204540233	8.64440041631372E-234
12	0.818730753077982	6.85053442591474E-233
12.1	0.78505617755183	5.4072550229441E-232
12.2	0.749761592239041	4.25100948929638E-231
12.3	0.713195287898282	3.32866521942978E-230
12.4	0.675704113960626	2.59603763395143E-229
12.5	0.637628151621773	2.0165763608784E-228
12.6	0.599295787845539	1.56020326312482E-227
12.7	0.561019283842171	1.20229354084763E-226
12.8	0.523090913102501	9.22789550588296E-226
12.9	0.485779724303885	7.05436041109119E-225
13	0.449328964117222	5.37125093760064E-224
13.1	0.413954174871274	4.07339065611463E-223
13.2	0.379841962851379	3.07680168862757E-222
13.3	0.34714941532451	2.31475893804919E-221
13.4	0.316004128691862	1.73450220500576E-220
13.5	0.28650479686019	1.29451403955835E-219
13.6	0.25872229825964	9.62280079943401E-219
13.7	0.232701212061571	7.12457640674136E-218
13.8	0.208461689089631	5.25387121786559E-217
13.9	0.186001600586909	3.85889196555913E-216
14	0.165298888221587	2.82298544591538E-215
14.1	0.146314041224636	2.05692037518419E-214
14.2	0.12899263103652	1.49275709250017E-213
14.3	0.113267839935589	1.07900542572367E-212
14.4	0.0990629274467473	7.7682096125872E-212
14.5	0.0862935864993705	5.57033180255278E-211
14.6	0.0748701499452598	3.97835942184456E-210
14.7	0.0646996168137856	2.83002185928849E-209
14.8	0.0556874762632699	2.00511084347958E-208
14.9	0.047739315321241	1.41497837708628E-207
15	0.0407622039783662	9.94544094582942E-207
15.1	0.0346658578510765	6.96243421526914E-206
15.2	0.0293635843476994	4.85468425095315E-205
15.3	0.0247730230033142	3.37150411860246E-204
15.4	0.0208166943753059	2.33211102753749E-203
15.5	0.0174223746394935	1.6067102808725E-202
15.6	0.0145233148527069	1.10252575852031E-201
15.7	0.0120583248338115	7.53533802560777E-201
15.8	0.00997174186137645	5.12955339972419E-200
15.9	0.00821330400344857	3.47791684160669E-199
16	0.00673794699908547	2.34866812652782E-198
16.1	0.00550554231769633	1.57974480761594E-197
16.2	0.00448059244101663	1.05831521816225E-196
16.3	0.00363189764530118	7.06164640975713E-196
16.4	0.00293220669850159	4.69309900939014E-195
16.5	0.00235786200649023	3.10653525997917E-194
16.6	0.00188844790797897	2.04812132849304E-193
16.7	0.0015064490802475	1.34492446934583E-192
16.8	0.00119692441471688	8.79635872723023E-192
16.9	9.47200278320115E-4	5.73021333838092E-191
17	7.4658580837668E-4	3.71793225705613E-190
17.1	5.86111800938637E-4	2.4026747017661E-189
17.2	4.5829384344502E-4	1.546504902007E-188
17.3	3.56919604151783E-4	9.91449158084616E-188
17.4	2.76859610930214E-4	6.33070997292535E-187
17.5	2.13900415367662E-4	4.02621728777428E-186
17.6	1.64598727601044E-4	2.55037958230543E-185
17.7	1.26154905170323E-4	1.60907118839154E-184
17.8	9.63040677170345E-5	1.01113353954716E-183
17.9	7.32230716633578E-5	6.32855554333608E-183
18	5.5451599432177E-5	3.94514979693366E-182
18.1	4.18256822169609E-5	2.44954387051114E-181
18.2	3.14220714360774E-5	1.51485047682897E-180
18.3	2.35119912734677E-5	9.33076251672015E-180
18.4	1.75229343631354E-5	5.72436511263304E-179
18.5	1.30072976540676E-5	3.49784321036422E-178
18.6	9.61679027700046E-6	2.12880642742052E-177
18.7	7.08167568209871E-6	1.29043112369189E-176
18.8	5.19403347400284E-6	7.79105567159324E-176
18.9	3.79434028565611E-6	4.68511880498961E-175
19	2.7607725720372E-6	2.80612963818449E-174
19.1	2.00072688686778E-6	1.67400856404287E-173
19.2	1.44413504557528E-6	9.94650355562534E-173
19.3	1.03822295854486E-6	5.88634931600293E-172
19.4	7.43423476261176E-7	3.4696402074937E-171
19.5	5.30206120182429E-7	2.03697488749537E-170
19.6	3.76630965597405E-7	1.19110412846569E-169
19.7	2.66471111191145E-7	6.9370784689478E-169
19.8	1.8777901831051E-7	4.02407722211419E-168
19.9	1.31797392346718E-7	2.32497789160165E-167
20	9.21360083456613E-8	1.33793239966654E-166
20.1	6.41526780544058E-8	7.66853380207801E-166
20.2	4.44900619358385E-8	4.3777738598869E-165
20.3	3.07308131512657E-8	2.4891847594479E-164
20.4	2.11420899298013E-8	1.4096904736103E-163
20.5	1.44872048677205E-8	7.95157607964484E-163
20.6	9.88744565699224E-9	4.467303867581E-162
20.7	6.72119413188929E-9	2.4997731107144E-161
20.8	4.55063069183233E-9	1.39321618843365E-160
20.9	3.06873626548942E-9	7.7339124969532E-160
21	2.06115362243856E-9	4.27605042669687E-159
21.1	1.3788720873213E-9	2.3547738498255E-158
21.2	9.18756491360566E-10	1.29157137867185E-157
21.3	6.09732975305802E-10	7.05586792251683E-157
21.4	4.03034076695334E-10	3.8392402945701E-156
21.5	2.65342412864281E-10	2.08066886987876E-155
21.6	1.73994052209897E-10	1.1231130303898E-154
21.7	1.13638358930083E-10	6.03819013839621E-154
21.8	7.39227859934509E-11	3.23335154108541E-153
21.9	4.7895479004778E-11	1.72449479494968E-152
22	3.09081874840834E-11	9.16080571613812E-152
22.1	1.98662262379856E-11	4.84694709643546E-151
22.2	1.27180356496638E-11	2.55426356468068E-150
22.3	8.10937756355492E-12	1.34068255825985E-149
22.4	5.15012566798568E-12	7.00888658544718E-149
22.5	3.25769899343511E-12	3.64951310614139E-148
22.6	2.05242314267039E-12	1.89270811792508E-147
22.7	1.28791047197301E-12	9.77676517493501E-147
22.8	8.04946966328171E-13	5.03001807291772E-146
22.9	5.01085324471648E-13	2.57754780592248E-145
23	3.10684023754345E-13	1.31554810824674E-144
23.1	1.91862006006723E-13	6.68758880336991E-144
23.2	1.18010829409416E-13	3.38606438349769E-143
